Response number,Speaker,Content
189,JERRY,"If we leave here without saying anything about why we came in the first place, it'll be heartbreaking."
190,TOM,If the jury finds us guilty we're not gonna be leaving here at all. And the only thing we need to say about why we came is that it wasn't to incite violence.
191,TOM,(beat) Why?
192,ABBIE,To end the war.
193,TOM,"Guys, before you tether yourselves to this man, just know that the very last thing he wants is for the war to end."
194,TOM,I don't have time for cultural revolution. It distracts from actual revolution.
195,KUNSTLER,"Alright, did everybody get everything off their chests?"
196,KUNSTLER,Evidently not.
197,KUNSTLER,I made it very clear I'm not his lawyer.
198,KUNSTLER,You can't.
199,KUNSTLER,Fred--
200,KUNSTLER,"Keep trying, alright?"
201,KUNSTLER,"Let's go. Abbie, Jerry, unless you're asked a direct question, shut your mouths while we're in that room."
202,ABBIE,(barely audible) This is a political trial.
203,KUNSTLER,What?
204,ABBIE,This is a political trial. That was already decided for us. Ignoring that reality is just...weird to me.
205,KUNSTLER,There are civil trials and there are criminal trials. There's no such thing as a political trial.
206,ABBIE,(beat--smiles) Okay.
207,WEINGLASS,Abbie's smarter than you think he is.
208,TOM,Cows are smarter than I think he is.
209,SCHULTZ,What is your occupation?
210,SCHULTZ,"Calling your attention to March 26th, 1968, did you have a meeting on that day?"
211,SCHULTZ,With whom?
212,ABBIE,Abbie and Jerry's fine.
213,SCHULTZ,What was said at the meeting? 44.
214,JERRY,Music will be performed.
215,JERRY,I would think.
216,SCHULTZ,"Say that again, sir?"
217,JERRY,Public fornication.
218,JERRY,Yeah.
219,ABBIE,And rock music.
220,ABBIE,What if it was R&B?
221,SCHULTZ,Did you issue the permits?
222,SCHULTZ,And what if anything did Abbie Hoffman say when you denied the request for the permits?
223,ABBIE,"Mr. Stahl, you need to understand something. There's going to be a Festival of Life in Grant Park and it will be held during the convention. Bands will play rock music. There will be public fornication, likely some of it with the wives and mistresses of delegates. Psychedelic long-haired leftists will consort with dope users. And we're going to insist that the next President of the United States stop sending our friends to be slaughtered. These things are going to happen whether you give us the permit or not."
224,ABBIE,Some people will sleep in tents. Others will live frivolously.
225,JERRY,A lot.
226,JERRY,Ten-thousand.
227,ABBIE,Right?
228,SCHULTZ,Did Abbie Hoffman add something at the end of that meeting?
229,SCHULTZ,What did he say?
230,ABBIE,Or you could gimme a hundred grand and I could call the whole thing off.
231,SCHULTZ,Thank you.
232,JUDGE HOFFMAN,Mr. Feinglass? 47.
233,WEINGLASS,"Weinglass, sir. Mr. Stahl, the meeting you just described with Mr. Hoffman and Mr. Rubin, was that the only meeting you had with any of the defendants?"
234,WEINGLASS,On August 2nd you had a meeting with Tom Hayden and Rennie Davis.
235,TOM,Tom Hayden.
236,RENNIE,Rennie Davis.
237,WEINGLASS,And on August 12th you had a meeting with David Dellinger.
238,WEINGLASS,There were two more meetings with Tom and Rennie--on the 10th and 12th of August--and there was one more meeting with David Dellinger on the 26th.
239,WEINGLASS,"I can be sure, they're recorded in the log at City Hall."
240,WEINGLASS,"And at each meeting, a request was made for a permit to demonstrate in Grant Park during the convention."
241,WEINGLASS,And at each meeting the request for permits was denied.
242,TOM,Sir-- 49.
243,TOM,"We need to demonstrate near the Hilton, that's where the convention is."
244,TOM,"Okay, but the thing is, there will be."
245,TOM,"No. We're cautioning you. Thousands of people are coming to Chicago and if they're not given a place to demonstrate they're gonna demonstrate wherever they're standing. It's reckless, irresponsible and foolishly dangerous of the city not to develop a contingency plan. We're gonna need police security and first aid, traffic control, water, sanitation--"
246,WEINGLASS,"So five times you were asked for a permit, five times you were advised of the dangers of not providing a location to demonstrate, not providing--"
247,WEINGLASS,No you don't. 50.
248,WEINGLASS,You take them from Mayor Daley.
249,WEINGLASS,You're appointed by the mayor and you serve at his pleasure?
250,WEINGLASS,And you're subject to removal in the same manner by the mayor?
251,KUNSTLER,Thank you.
252,JUDGE HOFFMAN,"Further cross examination, Mr. Kunstler?"
253,KUNSTLER,"Yes, sir. Mr. Stahl--"
254,JUDGE HOFFMAN,"Excuse me, Mr. Seale, would you identify the man sitting behind you? (beat) Mr. Seale?"
255,BOBBY,No sir.
256,JUDGE HOFFMAN,No?
257,BOBBY,That's right.
258,JUDGE HOFFMAN,Why not?
259,BOBBY,He's not on trial here. 51.
260,JUDGE HOFFMAN,"Mr. Seale, identify the man sitting behind you."
261,BOBBY,His name is Fred Hampton.
262,JUDGE HOFFMAN,Let the record indicate that Mr. Hampton is the head of the Chicago chapter of the Black Panther Party.
263,KUNSTLER,"Your Honor, Mr. Hampton isn't at the bar, why is the record identifying him at all?"
264,JUDGE HOFFMAN,Mr. Hampton is clearly giving Mr. Seale legal advice.
265,BOBBY,My lawyer is Charles Garry.
266,KUNSTLER,"Excuse me, sir, but for all you know Mr. Hampton is giving Mr. Seale the score of the White Sox game."
267,JUDGE HOFFMAN,I will assume that he's not.
268,KUNSTLER,Why?
269,JUDGE HOFFMAN,Because that's what happens when you don't have a lawyer. The Court assumes that you're being represented by the Black Panther sitting behind you. Continue.
270,KUNSTLER,"Mr. Stahl, when Abbie offered to call the whole thing off for a hundred-thousand dollars, did you think he was serious or did you think he was making a joke? 52."
271,JUDGE HOFFMAN,"Sit, Mr. Seale."
272,JERRY,You've posed that question in the form of a lie.
273,JERRY,Bobby Seale's lawyer is Charles Garry who's in the hospital right now. A motion was made for postponement and it was denied by a judge who just for the heck of it is suspending due process for a while.
274,KUNSTLER,Maybe you don't want to call it the conspiracy office.
275,KUNSTLER,I wouldn't count on it.
276,KUNSTLER,"If you believe that, you're gonna get your heart broken every day of your life."
277,KUNSTLER,(quietly) Messages?
278,KUNSTLER,"The high-priced lawyers are working for free, it's the support staff that needs--"
279,ABBIE,Hey! 57.
280,KUNSTLER,(quietly) Messages.
281,KUNSTLER,I don't want you guys holding press conferences.
282,TOM,If you're gonna get between Abbie and a camera I'd wear pads and a helmet.
283,KUNSTLER,We had a good day. (to WEINGLASS) Tell him we had a good day.
284,WEINGLASS,6 and 11?
285,KUNSTLER,Yeah.
286,TOM,What does that mean?
287,WEINGLASS,Jurors 6 and 11. They're with us.
288,TOM,How do you know? 58.
289,WEINGLASS,6 made sure I saw a copy of a James Baldwin novel under her arm and 11's been nodding during the Stahl cross.
290,TOM,Falling asleep?
291,WEINGLASS,(demonstrating) Nodding. Agreeing.
292,ABBIE,I'd have taken a hundred-thousand dollars. As for calling it off...
293,ABBIE,To call off the revolution?
294,ABBIE,My life.
295,JUDGE HOFFMAN,I'm going to adjourn the court for the day and see counsel in my chambers in 15 minutes.
296,JUDGE HOFFMAN,It's been brought to my attention that two of the jurors have received threatening notes from a member or members of the Black Panther Party.
297,KUNSTLER,Which two jurors?
298,JUDGE HOFFMAN,Juror number 6 and Juror number 11. It was slipped into the mail at the homes of their parents.
299,KUNSTLER,6 and 11.
300,JUDGE HOFFMAN,(to the MARSHAL) Bring in Juror 6. 60.
301,KUNSTLER,"Judge, I wonder if we could--"
302,JUDGE HOFFMAN,"Juror Number 6, how are you?"
303,KUNSTLER,"Judge, before we speak to--"
304,JUDGE HOFFMAN,(stopping him) Please. (to JUROR #6) Your parents received this note in their mail this morning. They called the police as they should have done. I'd like you to take the note and read it out loud.
305,KUNSTLER,Your Honor--
306,JUDGE HOFFMAN,Please read the note out loud.
307,JUDGE HOFFMAN,And you see who's signed it.
308,JUDGE HOFFMAN,"And you understand that to mean the Black Panthers, don't you?"
309,JUDGE HOFFMAN,And you understand that defendant Bobby Seale is the head of the Black Panthers.
310,KUNSTLER,Judge--
311,JUDGE HOFFMAN,He's the Chairman of the Black Panther Party.
312,JUDGE HOFFMAN,Do you still feel you can render a fair and impartial verdict?
313,JUDGE HOFFMAN,"Juror Number 6, your family has been threatened and so have you by members of an organization led by one of the defendants."
314,KUNSTLER,"Judge, for the love of Christ--"
315,KUNSTLER,"I apologize, Your Honor."
316,JUDGE HOFFMAN,I would think so. (beat) Do you still feel you can render a fair and impartial verdict?
317,JUDGE HOFFMAN,You're dismissed from this jury. Thank you for your service. Please bring in Juror Number 11.
318,WEINGLASS,(quietly) Keep reading James Baldwin.
319,KUNSTLER,They are.
320,KUNSTLER,"The Panthers don't write letters any more than the mob does, and the moment I find out it was your office that did, you're gonna see the criminal justice system up closer than you ever wanted to."
321,TOM,Who are the alternates?
322,JERRY,We're gonna make this public. 63.
323,KUNSTLER,Help yourself.
324,TOM,Who are they?
325,JERRY,Somebody other than the FBI has to investigate that letter.
326,KUNSTLER,"Who'd you have in mind, Jefferson Airplane? The FBI investigates--"
327,JERRY,This is bullshit!
328,TOM,Who are the alternates?
329,JERRY,Fuckin' bullshit.
330,WEINGLASS,Kay Richards. She's a 27-year old dental hygienist.
331,TOM,That doesn't sound too bad.
332,KUNSTLER,We think she's dating a guy named Tom Bannercheck who works for Daley.
333,KUNSTLER,(simultaneously) We were out of preemptory challenges. 64.
334,WEINGLASS,(simultaneously) She was an alternate and we were out of preemptory challenges.
335,TOM,How did that happen?
336,KUNSTLER,It was her or the Korean War vet who kicked his son out of the house for protesting the Vietnam-- you don't have to be Clarence Darrow to- -
337,JERRY,Did they manipulate the jury pool? How come there's nobody who looks like me?
338,KUNSTLER,Raise your hand if you've ever shown up for jury duty.
339,KUNSTLER,Then shut the fuck up.
340,WEINGLASS,Bill.
341,KUNSTLER,Yeah.
342,TOM,What?
343,WEINGLASS,He's sequestering the jury.
344,JERRY,'Course he is.
345,ABBIE,No such thing as a political trial. Good to know.
346,KUNSTLER,(to WEINGLASS) I want an expert in geriatric psychiatry sitting in the gallery for a few days. I want a medical evaluation of this judge.
347,WEINGLASS,The sequester's probably a reaction to Abbie doing stand-up on the weekends.
348,ABBIE,It's not stand-up.
349,WEINGLASS,"It's you in a college auditorium in a spotlight telling jokes, right?"
350,ABBIE,Little reductive.
351,JERRY,Hey.
352,RENNIE,Yeah. From yesterday.
353,TOM,Is anyone hungry?
354,RENNIE,"If I hadn't asked you to help me with Sara Beth, none of this-- 66."
355,TOM,No.
356,RENNIE,I asked you to help with Sara Beth and that's what got us the first riot. The first riot got us the real riot.
357,TOM,"Rennie, that's not what--"
358,RENNIE,Hang on.
359,RENNIE,Thank you.
360,KUNSTLER,We move to strike the order of sequestration of the jury which was made by Your Honor's sua sponte motion.
361,JUDGE HOFFMAN,"Hold on. Mr. Rubin, Mr. Hoffman, what are you wearing?"
362,ABBIE,"It's an homage to you, sir. 67."
363,JUDGE HOFFMAN,Do you have clothes underneath there?
364,ABBIE,Yes sir. Hang on. (to JERRY) Do you?
365,JERRY,Yeah.
366,JUDGE HOFFMAN,Take off the robes.
367,JUDGE HOFFMAN,(TO KUNSTLER) Continue.
368,KUNSTLER,We feel that sequestration for what appears will be a considerable period of time can only serve--
369,JUDGE HOFFMAN,It would be a considerably shorter period of time if the defense made fewer objections.
370,KUNSTLER,"--can only serve to the defendants disadvantage. And Your Honor, the defense will make not one fewer objection than the prosecution or this Court gives us reason to."
371,JUDGE HOFFMAN,"Bailiff, charge Mr. Kunstler with one count of Contempt."
372,ABBIE,"Welcome to our world, Bill."
373,KUNSTLER,May I continue my argument so it appears in the record? 68.
374,JUDGE HOFFMAN,Continue.
375,KUNSTLER,The jury will be in the custody of deputy marshals. The marshals will take care of all the wants and needs of the jurors and we feel that tends to make the jurors more sympathetic toward--
376,JUDGE HOFFMAN,I understand.
377,KUNSTLER,"The jurors are going to be taken care of by law enforcement officers. They won't be allowed to go home, they'll have minimal communication with--"
378,SCHULTZ,And what is your occupation? 69.
379,SCHULTZ,"Calling your attention to August of 1968 during the convention, were you given any specific assignment?"
380,SCHULTZ,"And while surveilling Rennie Davis on Sunday evening, August 25th, the night before the convention began, did you observe Tom Hayden committing a crime?"
381,ABBIE,"It's a strategy of throwin' banana peels all over Chicago and then let the machine stumble. And when it stumbles, it gets into a policy of overkill and starts to devour itself. We'll convince 'em. They'll be convinced. Of what? That we're crazy enough to do anything."
382,JERRY,We think it's important for confrontational tactical knowledge to be understood. Confrontational tactics make us safer. Why? Because the police become afraid. And that's fighting fire with--
383,TOM,"(to no one) You don't fight fire with fire, you fight it with water, ya jackass."
384,RENNIE,It's a metaphor.
385,TOM,Abbie and his fuckin' banana peels.
386,RENNIE,Also a metaphor. 71.
387,TOM,"Between the cops, the state police and the Guard, Daley's got 15,000 soldiers on the street whose guns are loaded with bullets that are literal."
388,RENNIE,I could make the argument that the bullets were also--
389,TOM,"Yeah, so could I, but don't. The atmosphere's starting to get dangerous and someone's gonna throw a rock. I want to get the word out that we're protesting the war and not the cops."
390,RENNIE,Dammit.
391,TOM,What?
392,RENNIE,"I think those are my guys, I think that's their car."
393,RENNIE,"Yeah, that's them. They're back. They were following me all day. Listen, here's the thing I haven't told you about Sara Beth. She isn't into this at all."
394,TOM,Isn't into what?
395,RENNIE,"When I'm with her and her family, I try to...de-emphasize the...radical revolutionary part of my--"
396,TOM,Got it. 72.
397,RENNIE,She and her parents are letting me stay with them and if I show up tailed by two undercover police officers--
398,TOM,That'd be hard to explain.
399,RENNIE,This isn't her world. And it's definitely not her parents' world. If I bring my world into their driveway--
400,TOM,Yeah.
401,RENNIE,She'll break up with me.
402,TOM,You could be in a healthier relationship.
403,RENNIE,"I know, but until then, this is the one I've got."
404,TOM,(pause) That's their car?
405,RENNIE,Yeah.
406,TOM,Where are they?
407,RENNIE,Looking for me.
408,TOM,Alright. Go back into the crowd and let 'em find you. Then leave the park by the east exit. They'll need their car to follow you.
409,RENNIE,What are you gonna do? 73.
410,TOM,It's not gonna remind anyone of Ghandi but a little civil disobedience. Go.
411,RENNIE,"You're not gonna cut their breaks or anything, right?"
412,TOM,"What? No, I'm gonna let the air out of one of the tires. Now go."
413,RENNIE,I really appreciate it. I don't want to be a phony with SaraBeth but sometimes it takes a little--
414,TOM,You should really go now.
415,RENNIE,Yeah.
416,SCHULTZ,Your car.
417,SCHULTZ,And what did you find?
418,TOM,Those are two contradictory instructions.
419,TOM,Nope.
420,SCHULTZ,What happened then?
421,TOM,"(calling to the silhouettes) Listen, everybody stay cool!"
422,TOM,Again--
423,SCHULTZ,And did he tell the crowd to get back?
424,TOM,"Everybody get back! I'm alright, stay cool!"
425,SCHULTZ,Did you take Hayden under arrest at that moment? 76.
426,SCHULTZ,Why not?
427,TOM,This is gonna be for me.
428,RENNIE,Let me try to explain to them.
429,TOM,We should tell 'em about SaraBeth's parents.
430,RENNIE,Yeah.
431,TOM,"I was kidding. Just bail me out and keep to the schedule, it's fine"
432,TOM,Yeah. (to RENNIE) See you in a bit.
433,TOM,Got it.
434,JUDGE HOFFMAN,We'll stand in recess for one hour and court will resume at--
435,BOBBY,Your Honor--
436,JUDGE HOFFMAN,"You wish to address the court, Mr. Seale?"
437,BOBBY,I--yes. I have a motion--
438,JUDGE HOFFMAN,I will hear you Mr. Seale.
439,BOBBY,Just a moment.
440,JUDGE HOFFMAN,"Mr. Seale, do you have a motion?"
441,BOBBY,"I have a motion pro se to defend myself. I'd like to invoke the precedent of Adams vs. U.S. ex rel. McCann, where the Supreme Court--"
442,JUDGE HOFFMAN,"Alright, that's enough. Where are you learning these things. Does your young friend, Mr. Hampton, have a background in-- 78."
