Begin,Disapear,Text
"00:03:47,900","00:03:49,859
","David, he watches the news."
"00:03:49,942","00:03:51,234
",I've organized 100 protests.
"00:03:51,317","00:03:55,109
",This one will be no different in that it almost certainly won't work.
"00:03:55,192","00:03:56,275
",The police are--
"00:03:56,359","00:03:59,150
",I'm not worried about them. I'm worried about Hoffman and Rubin.
"00:03:59,234","00:04:01,567
","It's the Democratic National Convention, honey."
"00:04:01,650","00:04:04,067
","Every camera in America is gonna be pointed at it,"
"00:04:04,150","00:04:07,359
",and Daley is not gonna let his city turn into a theater of war.
"00:04:07,442","00:04:10,109
",Hoffman and Rubin are geniuses in their own special way.
"00:04:10,192","00:04:12,400
","- Oh, dear God. - He's got a Boy Scout meeting at 7:00."
"00:04:13,317","00:04:14,775
","Dad, if the police--"
"00:04:14,859","00:04:16,150
","If the police try to arrest me,"
"00:04:16,234","00:04:19,442
","I'll do what I always do and what I taught you to do, which is what?"
"00:04:20,609","00:04:22,859
",Very calmly and very politely...
"00:04:22,942","00:04:26,317
",Fuck the motherfuckers up! They leave us alone and everything's cool.
"00:04:26,400","00:04:27,859
","They tangle, disrupt, intimidate,"
"00:04:27,942","00:04:29,984
","play fast and loose with the First Amendment,"
"00:04:30,067","00:04:32,484
","start breaking heads, then we will not be on our way."
"00:04:32,567","00:04:34,234
",You can't give this speech in Chicago.
"00:04:34,317","00:04:37,775
",- Fred wants me there. Plane ticket. - Let Fred give the speech.
"00:04:37,859","00:04:40,067
","Between Hayden and Hoffman, there could be 5,000 people."
"00:04:40,150","00:04:41,609
","Be nice to talk to 5,000 people."
"00:04:41,692","00:04:43,484
",Not while you're in trouble in Connecticut.
"00:04:43,567","00:04:45,734
","I'm the head of the Black Panthers, Sondra."
"00:04:45,817","00:04:47,734
",When won't I be in trouble? Travel bag.
"00:04:47,817","00:04:50,859
","You'll be in a lot more of it if you stand up and say, ""Fry the pigs."""
"00:04:50,942","00:04:52,734
",If they attack. Takin' it out of context.
"00:04:52,817","00:04:56,150
",So will every white person in America. Cops won't give a shit about context.
"00:04:56,234","00:04:57,775
",You don't have protection in Chicago.
"00:04:57,859","00:04:59,400
",There's no place to be but in it.
"00:04:59,484","00:05:01,400
","- But ""fry the pigs""? - If they attack--"
"00:05:01,484","00:05:02,942
",- Dr. King-- - Is dead.
"00:05:03,025","00:05:05,817
",He has a dream? Now he has a fuckin' bullet in his head.
"00:05:05,900","00:05:07,942
","Martin's dead, Malcolm's dead, Medgar's dead,"
"00:05:08,025","00:05:09,775
","Bobby's dead, Jesus is dead."
"00:05:09,859","00:05:12,317
","They tried it peacefully, we gonna try something else."
"00:05:12,400","00:05:15,192
","Sondra, I'll be there for four hours. That's it."
"00:05:16,567","00:05:17,567
",Snack.
"00:05:21,484","00:05:22,900
",You'll at least take one of these?
"00:05:22,984","00:05:26,025
","If I knew how to use that, I wouldn't need to be making speeches."
"00:05:30,067","00:05:34,525
",It's named after the Russian commissar Vyacheslav Mikhailovich Molotov.
"00:05:34,609","00:05:36,025
",You start with a glass bottle.
"00:05:38,400","00:05:41,067
",You fill it up halfway with gasoline and motor oil...
"00:05:44,650","00:05:47,484
","You pack some Styrofoam, and now your cherry bomb."
"00:05:49,192","00:05:50,692
",Some chewing gum around the top...
"00:05:54,692","00:05:55,942
",...and a fuse.
"00:05:56,025","00:05:57,025
",Now!
"00:06:00,442","00:06:04,067
",The 35th National Democratic Convention is set to begin next week
"00:06:04,150","00:06:07,609
","with repeated assurances from Chicago Mayor, Richard J. Daley."
"00:06:07,692","00:06:11,067
","- Will it be a good convention, Mr. Mayor? - The best ever held."
"00:06:11,150","00:06:12,900
",- Is that Jerry? - Yeah.
"00:06:12,984","00:06:15,900
",Tell him to tell Abbie we're going to Chicago to end the war
"00:06:15,984","00:06:17,442
",and not to fuck around.
"00:06:17,525","00:06:20,400
",Tom says to tell Abbie that we're going to Chicago to end the war
"00:06:20,484","00:06:22,025
",and not to fuck around.
"00:06:22,567","00:06:26,317
",Hayden says we're goin' to Chicago to end the war and not to fuck around.
"00:06:26,400","00:06:29,275
",Tell Hayden I went to Brandeis and I can do both.
"00:06:29,359","00:06:33,234
","We're going to show that we, as a generation, are serious people."
"00:06:33,317","00:06:37,817
","People say, ""Abbie, are you concerned about an overreaction from the cops?"""
"00:06:37,900","00:06:41,025
",I issued a police order to shoot to kill any arsonists.
"00:06:41,109","00:06:42,567
",We're not concerned about it.
"00:06:42,650","00:06:45,942
","Four units of the Illinois National Guard, totaling 5,000 troops,"
"00:06:46,025","00:06:47,442
",have been sent to Chicago.
"00:06:47,525","00:06:48,692
",We're countin' on it!
"00:06:48,775","00:06:52,192
","We wanna underscore again that we're coming to Chicago peacefully,"
"00:06:52,275","00:06:54,984
","but whether we're given permits or not, we're coming."
"00:06:55,067","00:06:58,609
","An additional 10,000 Chicago police officers, including riot squads..."
"00:06:58,692","00:07:01,442
","We're not going to storm the convention with tanks or mace,"
"00:07:01,525","00:07:04,609
",but we are going to storm the hearts and minds of the American people.
"00:07:04,692","00:07:06,942
",These people are revolutionaries
"00:07:07,025","00:07:10,359
",bent on the destruction of the government of the United States of America.
"00:07:10,442","00:07:15,650
",The Democratic Convention is about to begin in a police state.
"00:07:15,734","00:07:18,442
",There just doesn't seem to be any other way to say it.
"00:07:40,400","00:07:42,900
",You've arrived at a moment in history.
"00:07:44,400","00:07:47,192
",- Pardon? - They're changing the picture.
"00:07:53,692","00:07:55,317
",- Tom. - Howard.
"00:07:55,400","00:07:56,859
",- Flew in all right? - Sure.
"00:07:57,400","00:07:58,942
","- Richard Schultz? - Yes, sir."
"00:07:59,025","00:08:01,525
","Howard Ackerman, Special Advisor to the Attorney General."
"00:08:01,609","00:08:03,960
",- Pleased to meet you. - Anyone tell you what this is about?
"00:08:03,984","00:08:07,692
","No, sir. Just to meet Mr. Foran at O'Hare this morning, we'd fly to Washington."
"00:08:07,775","00:08:09,692
",- We'd be meeting Mr. Mitchell. - Good.
"00:08:10,650","00:08:14,109
",Finally changing that goddamn picture. Come on in.
"00:08:19,525","00:08:21,484
","As a matter of courtesy and tradition,"
"00:08:21,567","00:08:25,109
","when we elect a new president, the outgoing cabinet members resign"
"00:08:25,192","00:08:28,275
",to spare the new president the unpleasantness of firing 'em.
"00:08:28,900","00:08:31,025
","Richard, do you know when President Nixon"
"00:08:31,109","00:08:33,984
",received Ramsey Clark's formal letter of resignation?
"00:08:34,525","00:08:37,109
","- No, sir. - About an hour before my confirmation."
"00:08:37,192","00:08:38,775
",That was to embarrass me.
"00:08:38,859","00:08:42,234
","I don't know, I think it was more embarrassing for Ramsey Clark."
"00:08:42,317","00:08:43,234
",I'm John Mitchell.
"00:08:43,317","00:08:45,942
","Thomas Foran, Mr. Attorney General, and this is Richard Schultz."
"00:08:46,025","00:08:49,692
","Richard, Chicago is more fucked up than any ten things I've ever seen in my life."
"00:08:49,775","00:08:51,650
","- Sir? - The convention, the riots."
"00:08:51,734","00:08:53,359
","- Yes, sir. - Sit."
"00:08:55,067","00:08:57,817
","- Johnnie Walker okay with everybody? - Yes, thank you."
"00:08:57,900","00:08:59,609
","- Richard? - Nothing for me, thank you."
"00:08:59,692","00:09:02,984
",We don't know how Humphrey's people could have been that stupid.
"00:09:03,067","00:09:05,609
",Allow their guy to be nominated under armed guard.
"00:09:06,317","00:09:08,650
","- Sir? - Son, are you nervous?"
"00:09:08,734","00:09:10,400
","- No, sir. - Why the fuck not?"
"00:09:11,817","00:09:15,192
",I'm kidding. Don't believe everything you've heard about me.
"00:09:15,275","00:09:19,567
",Ramsey Clark gave me the finger on the way out the door.
"00:09:19,650","00:09:22,900
",I'm asking if you think Chicago was why Humphrey lost the election.
"00:09:22,984","00:09:25,484
","No, sir. The Republicans ran a better candidate."
"00:09:25,567","00:09:27,687
","- That's for damn sure. - Daley didn't help his party,"
"00:09:27,734","00:09:29,859
","but Humphrey's people and Daley didn't break the law,"
"00:09:29,942","00:09:31,317
",so that's somebody else's table.
"00:09:31,400","00:09:34,900
","As a matter of fact, we don't believe any federal laws were broken last summer."
"00:09:34,984","00:09:37,900
",Mr. Foran had our office run a thorough investigation.
"00:09:37,984","00:09:41,442
","There was trespassing, destruction of public property, lewd behavior."
"00:09:41,525","00:09:43,484
",Nothing that would rise to the level--
"00:09:43,567","00:09:46,192
",You think you and your boss are in the attorney general's office
"00:09:46,275","00:09:50,442
",because I want you to seek an indictment for violating a federal trespassing law?
"00:09:51,317","00:09:53,692
",Our office wasn't aware that the Justice Department
"00:09:53,775","00:09:55,400
",wanted to seek any indictments at all.
"00:09:55,484","00:09:57,400
",- We do. - Ramsey Clark was dead set against--
"00:09:57,484","00:09:59,775
","Ramsey Clark doesn't run the Justice Department anymore,"
"00:09:59,859","00:10:00,942
",did you hear about that?
"00:10:01,025","00:10:03,567
","- And Mr. Johnson's back home in Texas. - Of course, sir."
"00:10:03,650","00:10:06,109
","One hour before my confirmation hearing gaveled,"
"00:10:06,192","00:10:08,484
",that's when he resigned. What a prick!
"00:10:09,359","00:10:10,484
",That's unprofessional.
"00:10:10,567","00:10:13,650
",Unprofessional? It was unpatriotic. I'll tell you what else.
"00:10:13,734","00:10:17,234
",It was impolite. There's such a thing as manners.
"00:10:17,317","00:10:20,692
",I want to bring back manners. How about that? The America I grew up in.
"00:10:21,275","00:10:22,775
","Will you help me, Mr. Schultz?"
"00:10:22,859","00:10:26,025
",'Cause I asked Mr. Foran who was the best prosecutor in his office.
"00:10:26,109","00:10:27,859
",- He said you. - Thank you.
"00:10:27,942","00:10:30,859
",Section 2101 of Title 18.
"00:10:30,942","00:10:32,900
",That's the federal law that was broken.
"00:10:32,984","00:10:34,609
",That's the Rap Brown Law.
"00:10:34,692","00:10:38,317
",In conspiracy to cross state lines in order to incite violence.
"00:10:38,400","00:10:41,442
",Comes with a maximum of ten years. We want all ten.
"00:10:41,525","00:10:43,650
","- For whom, sir? - The all-star team."
"00:10:46,317","00:10:50,317
","""Abbie Hoffman, Tom Hayden, Jerry Rubin, David Dellinger, Rennie Davis,"
"00:10:50,400","00:10:54,150
","Lee Weiner, John Froines... and Bobby Seale?"""
"00:10:54,234","00:10:58,234
","I call 'em the school boys, and when I do, everyone here knows who I'm talking about."
"00:10:58,317","00:11:00,150
",Petulant and dangerous.
"00:11:00,234","00:11:03,817
","And we watched for a decade while these rebels without a job,"
"00:11:03,900","00:11:06,525
","who never got their hands dirty fighting the enemy,"
"00:11:06,609","00:11:09,025
",tell us how to prosecute a war.
"00:11:09,567","00:11:11,984
","The decade's over, the grown-ups are back,"
"00:11:12,067","00:11:16,734
",and I deem these shitty little fairies to be a threat to national security.
"00:11:16,817","00:11:20,359
",So they're gonna spend their thirties in a federal facility.
"00:11:20,442","00:11:22,692
","- Real-time. - You're lead prosecutor, Richard."
"00:11:23,317","00:11:25,650
",You understand why I couldn't tell you until we got here?
"00:11:25,734","00:11:26,817
","Sure. Of course, sir."
"00:11:26,900","00:11:31,067
","Richard, you're being handed the ball. Are you ready for this?"
"00:11:33,567","00:11:34,900
",You pay me for my opinion.
"00:11:35,484","00:11:37,900
","- What? - I said, sir, you pay me for my opinion."
"00:11:37,984","00:11:40,567
",Where'd you learn that? In class? I pay you to win.
"00:11:40,650","00:11:43,150
",I'm not sure we can get a good indictment on conspiracy.
"00:11:43,234","00:11:45,942
",- Why not? - Some of them have never met each other.
"00:11:46,025","00:11:47,275
",Telephones.
"00:11:48,525","00:11:53,442
","Mr. Attorney General, the Rap Brown Law was created by Southern whites in Congress"
"00:11:53,525","00:11:55,900
",to limit the free speech of Black activists.
"00:11:55,984","00:11:58,150
",- Civil rights activists-- - I know why it was passed.
"00:11:58,234","00:11:59,775
",Why the fuck is he teaching...
"00:11:59,859","00:12:03,025
",It doesn't matter why it was passed. It matters what it can do.
"00:12:03,109","00:12:05,900
",We're not sure what it can do. No one's ever been charged with it.
"00:12:05,984","00:12:07,400
",That makes it exciting.
"00:12:07,484","00:12:10,192
",It's like virgin land. Undeveloped real estate.
"00:12:10,734","00:12:13,484
","- It's a law and they broke it. - Of course, sir."
"00:12:13,567","00:12:14,817
","- Is there a problem? - No, sir."
"00:12:14,900","00:12:17,900
","Say what you want to say, since I'm paying for your wisdom."
"00:12:17,984","00:12:19,317
",Give me my money's worth.
"00:12:19,400","00:12:21,192
","Sir, there are people who will see this"
"00:12:21,275","00:12:23,567
",as the Justice Department restraining free speech
"00:12:23,650","00:12:26,484
",and there were people who see these men as martyrs.
"00:12:26,567","00:12:28,859
","- Are any of those people in this room? - No, sir."
"00:12:28,942","00:12:31,650
",You're 33 and you're about to be named lead prosecutor
"00:12:31,734","00:12:33,900
",in the most important trial in your lifetime
"00:12:33,984","00:12:36,859
",after being handpicked by the attorney general.
"00:12:36,942","00:12:38,775
",I'm about to do that right now.
"00:12:38,859","00:12:42,942
","But before I do, let me ask you, how do you see them?"
"00:12:43,859","00:12:46,150
",- Personally or in terms of-- - Personally.
"00:12:46,234","00:12:48,567
","I see them as vulgar, anti-establishment,"
"00:12:48,650","00:12:52,275
","antisocial and unpragmatic, but none of those things are indictable."
"00:12:52,359","00:12:54,817
",Imagine how impressed I'll be when you get an indictment.
"00:12:55,692","00:12:57,442
",- There's a bigger question. - Which is?
"00:12:57,525","00:13:01,359
",Who started the riots? Was it the protesters or the police?
"00:13:01,442","00:13:04,650
",- The police don't start riots. - They'll have witnesses who say they did.
"00:13:04,734","00:13:06,859
","And you'll dismantle them and win,"
"00:13:06,942","00:13:10,192
","because, Mr. Schultz, that's what's expected of you."
"00:13:12,859","00:13:15,359
",You didn't show a lot of gratitude in there.
"00:13:16,400","00:13:20,734
","On top of everything, we're giving them what they want: a stage and an audience."
"00:13:21,359","00:13:23,484
",You think there's gonna be a big audience?
"00:13:23,567","00:13:27,109
",The whole world is watching!
"00:13:27,192","00:13:28,442
","Yes, sir, I do."
"00:13:29,150","00:13:33,567
",The whole world is watching!
"00:13:34,609","00:13:37,442
",- Traitors! - Lock up the longhairs!
"00:13:37,525","00:13:39,525
",Power to the people!
"00:13:39,609","00:13:41,067
",No more war!
"00:13:44,109","00:13:47,442
",The whole world is watching!
"00:13:48,025","00:13:50,567
",Get out! How dare you? Get out!
"00:13:51,567","00:13:53,067
",- Abbie! - Are you all right?
"00:13:53,150","00:13:54,275
","Abbie, over here."
"00:13:54,359","00:13:57,692
","- I was, until I saw that. - Most of them are on our side."
"00:13:57,775","00:13:59,859
","- We love you, Abbie! - See?"
"00:14:01,067","00:14:01,900
",Watch out!
"00:14:01,984","00:14:04,734
",Jesus Christ! How did you do that?
"00:14:05,609","00:14:06,609
",Experience.
"00:14:06,692","00:14:09,692
","Abbie, right over here!"
"00:14:09,775","00:14:11,192
",Over here! Over here!
"00:14:11,275","00:14:13,150
",You don't know what to do with the egg now?
"00:14:13,234","00:14:14,234
",No.
"00:14:16,192","00:14:19,734
","- Mr. Kunstler, one question! - Bill! Bill!"
"00:14:19,817","00:14:22,400
",All right. Hang on. Quiet down.
"00:14:22,484","00:14:25,942
",I want you all to meet a new addition to the defense team.
"00:14:26,025","00:14:28,150
","This is Leonard Weinglass,"
"00:14:28,234","00:14:31,442
",one of this country's most talented First Amendment litigators.
"00:14:31,525","00:14:33,984
","- Bill, can you tell us-- - Go ahead, Sy."
"00:14:34,067","00:14:35,525
",What's the status of Charles Garry?
"00:14:35,609","00:14:38,359
",Charles Garry is still in the hospital.
"00:14:38,442","00:14:41,359
",You should contact his office for information.
"00:14:41,442","00:14:42,942
",- One more. - Marjorie.
"00:14:43,025","00:14:44,775
",You're representing Bobby Seale today?
"00:14:44,859","00:14:48,817
","Oh, no, it's very important that it be understood that, uh,"
"00:14:48,900","00:14:51,525
","for his own protection, his own protection,"
"00:14:51,609","00:14:54,525
",I will not be acting as Bobby Seale's attorney today.
"00:14:54,609","00:14:55,442
",One more. Jack.
"00:14:55,525","00:14:59,275
","I was told that Hayden was the one who wanted to bring Mr. Weinglass in,"
"00:14:59,359","00:15:02,025
",that Hayden has concerns about your seriousness.
"00:15:02,109","00:15:04,609
",- Well... - This is William Kunstler.
"00:15:04,692","00:15:07,817
","You wanna find out how serious he is, meet him at a witness stand."
"00:15:42,275","00:15:45,442
","I understand why they're tryin' to smoke Abbie, Jerry and Hayden,"
"00:15:45,525","00:15:46,859
","even Rennie and Dellinger,"
"00:15:46,942","00:15:49,817
",but I can't figure out what the two of us are doin' here.
"00:15:49,900","00:15:53,692
","I feel exactly the same way, but this is the Academy Awards of protests,"
"00:15:53,775","00:15:57,025
","and as far as I'm concerned, it's an honor just to be nominated."
"00:15:58,484","00:15:59,484
",What is that?
"00:16:00,317","00:16:02,025
",I've been keeping a list every day.
"00:16:02,567","00:16:05,567
",Americans who've been killed since the day we were arrested.
"00:16:05,650","00:16:06,650
",Why?
"00:16:07,275","00:16:10,942
","With the trial starting, it might get easy to forget who this is about."
"00:16:18,275","00:16:19,650
",- Fellas. - Morning.
"00:16:19,734","00:16:20,734
",Good morning.
"00:16:26,525","00:16:29,567
",I just got a question about my seriousness.
"00:16:30,109","00:16:34,609
","Whatever's going on between you and Abbie, could you keep it out of this building?"
"00:16:34,692","00:16:37,692
",I got a feeling this is gearing up to be...
"00:17:01,234","00:17:03,150
",- Fred. - Bill.
"00:17:03,900","00:17:05,817
",Did you have breakfast this morning?
"00:17:08,192","00:17:10,234
",- What? - Did you have breakfast?
"00:17:10,859","00:17:13,234
","- I did. - Well, what'd you have?"
"00:17:13,900","00:17:14,900
",What are you doin'?
"00:17:14,942","00:17:16,484
",I'm talkin' to him about breakfast
"00:17:16,567","00:17:19,109
",because that's all I'm allowed to talk to him about.
"00:17:19,192","00:17:20,192
",That's right.
"00:17:21,900","00:17:23,942
",- Bobby-- - We have instructions from our lawyer.
"00:17:24,025","00:17:26,692
","If you need me, I'm sittin' right there."
"00:17:26,775","00:17:29,692
","You just look at me and you say, ""I need you."""
"00:17:30,650","00:17:33,317
","- We don't need you, Bill. - You two gonna be like this?"
"00:17:34,775","00:17:38,192
",Your friends shouldn't sit together. The jury's not gonna like that.
"00:17:38,275","00:17:40,067
",This isn't my jury. If they don't like it--
"00:17:40,150","00:17:41,192
","No, he's right."
"00:17:44,734","00:17:47,900
","Spread out, okay? In pairs."
"00:17:48,442","00:17:49,525
",And Fred?
"00:17:50,900","00:17:53,275
","- No, they're dressed just fine. - It's all right."
"00:17:54,025","00:17:56,609
",And take your very scary hats off.
"00:18:01,650","00:18:02,650
",Don't mess this up.
"00:18:04,567","00:18:06,817
",All right. Good pep talk.
"00:18:10,984","00:18:11,984
",Hey!
"00:18:14,984","00:18:16,275
",You see the crowd out there?
"00:18:17,234","00:18:18,442
",I have an egg.
"00:18:18,525","00:18:20,859
",- Get rid of that. - You don't think I want to?
"00:18:20,942","00:18:23,692
",It's like we're... What's his name? We just met him.
"00:18:23,775","00:18:25,734
",- Yeah. - What is his name?
"00:18:25,817","00:18:28,317
",- Who? - The drummer. The greatest drummer ever.
"00:18:28,400","00:18:29,234
",Gene Krupa?
"00:18:29,317","00:18:32,109
",No. Gene Krupa? I'm talkin' about the drummer from Cream.
"00:18:32,192","00:18:33,609
",We just met him last night.
"00:18:33,692","00:18:35,609
",- Ginger Baker. - Thank you.
"00:18:36,400","00:18:39,650
","Crowd outside is so big, it's as if we're Ginger Baker, I was trying to say."
"00:18:39,734","00:18:42,859
",- Are you stoned? - Yeah. You?
"00:18:44,359","00:18:45,359
","All right, sit down."
"00:18:48,942","00:18:50,400
",You remember what I said.
"00:18:50,900","00:18:53,650
","Okay, and you remember to keep us out of prison."
"00:18:54,317","00:18:56,567
",There's a lot of good advice this morning.
"00:18:56,650","00:18:57,692
",All rise.
"00:19:05,525","00:19:10,484
","Hear ye, hear ye. September 26th, 1969, ten o'clock a.m."
"00:19:10,567","00:19:13,359
",All persons having business before the United States District Court
"00:19:13,442","00:19:15,817
","of Northern Illinois, Southern District, Eastern Division,"
"00:19:15,900","00:19:17,775
",draw near and ye shall be heard.
"00:19:17,859","00:19:19,859
",Judge Julius Hoffman presiding.
"00:19:19,942","00:19:22,775
",God save the United States of America and this Honorable Court.
"00:19:22,859","00:19:24,067
",Be seated.
"00:19:26,275","00:19:29,650
","Mr. Marshal, bring in our jury."
"00:19:41,317","00:19:44,442
",Let the record show that we have been joined
"00:19:44,525","00:19:48,067
",by our 12 jurors and four alternates.
"00:19:48,150","00:19:50,484
","Good morning, ladies and gentlemen."
"00:19:51,025","00:19:52,025
",Good morning.
"00:19:52,650","00:19:55,734
","Mrs. Winter, please call the case."
"00:19:55,817","00:19:58,734
","69 CR 180,"
"00:19:58,817","00:20:03,359
","United States of America vs. David Dellinger,"
"00:20:03,442","00:20:06,525
","Rennard C. Davis, Thomas Hayden,"
"00:20:06,609","00:20:09,775
","Abbott Hoffman, Jerry C. Rubin,"
"00:20:09,859","00:20:15,609
","Lee Weiner, John R. Froines and Bobby G. Seale for trial."
"00:20:15,692","00:20:18,025
",Are the People ready to make opening arguments?
"00:20:18,109","00:20:19,109
","We are, Your Honor."
"00:20:19,150","00:20:22,359
",- I don't have my lawyer here. - It's not your turn to speak.
"00:20:22,442","00:20:24,234
",My trial's begun without my lawyer.
"00:20:24,317","00:20:26,817
",Please sit.
"00:20:31,859","00:20:32,859
",Mr. Schultz?
"00:20:36,025","00:20:38,525
",Good morning. My name is Richard Schultz.
"00:20:38,609","00:20:41,609
",I'm an assistant US attorney for the Southern District of Illinois.
"00:20:41,692","00:20:44,567
","Seated at my table is my boss, US Attorney Thomas Foran."
"00:20:44,650","00:20:46,942
","Or you could say, I'm seated at his table."
"00:20:48,359","00:20:50,900
",At the defense table are the eight defendants
"00:20:50,984","00:20:54,442
","represented by their lawyers William Kunstler, Leonard Weinglass."
"00:20:55,442","00:20:59,692
","Now, the defendants would tell you that they represent three different groups."
"00:20:59,775","00:21:02,359
",- They would tell you that one group is-- - Excuse me.
"00:21:03,150","00:21:03,984
","Yes, sir."
"00:21:04,067","00:21:07,192
",I'd like to clarify something for the jurors.
"00:21:07,275","00:21:10,025
",There are two Hoffmans in this courtroom.
"00:21:10,109","00:21:14,775
","The defendant Abbie Hoffman and myself, Judge Julius Hoffman."
"00:21:15,734","00:21:16,567
","Thank you, sir."
"00:21:16,650","00:21:19,150
",I didn't want there to be confusion on the matter.
"00:21:19,234","00:21:21,484
","Man, I don't think they're gonna mix us up."
"00:21:23,067","00:21:25,817
","You will address this court as Judge or Your Honor,"
"00:21:25,900","00:21:28,817
",and you will not address this court until...
"00:21:28,900","00:21:30,650
",You will not address this court!
"00:21:33,275","00:21:36,234
",The defendants would tell you they represent three different groups.
"00:21:36,317","00:21:38,484
",And the record should reflect
"00:21:38,567","00:21:42,567
",that defendant Hoffman and I are not related.
"00:21:42,650","00:21:44,067
","Father, no!"
"00:21:45,567","00:21:48,692
","Mr. Hoffman, are you familiar with contempt of court?"
"00:21:49,359","00:21:52,525
","It's practically a religion for me, sir."
"00:21:53,775","00:21:55,734
",- Your Honor? - Continue.
"00:21:59,067","00:22:02,484
","Rennie Davis and Tom Hayden are the leaders of the SDS,"
"00:22:02,567","00:22:04,359
",Students for a Democratic Society.
"00:22:04,984","00:22:07,692
",Davis and Hayden brought their people to Chicago
"00:22:07,775","00:22:10,484
",for the purpose of causing violence in the streets
"00:22:10,567","00:22:13,150
",in order to disrupt the Democratic Convention.
"00:22:13,234","00:22:16,109
",You know the Youth International Party as the Yippies.
"00:22:16,859","00:22:19,525
",Their leaders are Abbie Hoffman and Jerry Rubin.
"00:22:19,609","00:22:22,984
",Bobby Seale is the leader of the Black Panther Party.
"00:22:23,567","00:22:27,400
","Again, the defendants would tell you that these are three distinct groups."
"00:22:27,484","00:22:29,317
",- But they all-- - Excuse me.
"00:22:29,400","00:22:30,234
",Yes.
"00:22:30,317","00:22:32,442
","- May I speak? - No, sir."
"00:22:32,525","00:22:33,609
",He just said my name.
"00:22:33,692","00:22:37,442
",You're a defendant in this case. You're likely to hear your name.
"00:22:37,525","00:22:41,275
","I have a right to counsel, and His Honor knows that."
"00:22:41,359","00:22:45,525
",Don't tell the court what it does and does not know. Be seated.
"00:22:48,859","00:22:50,234
",Mr. Schultz.
"00:22:54,192","00:22:55,609
",The radical left. That's all.
"00:22:55,692","00:22:57,734
",They're the radical left in different costumes.
